StandardVesselType,imobin,mindiff,maxdiff,ab_berth,ab_anch,ab_man,ab_sea,ae_berth,ae_anch,ae_man,ae_sea
Bulk carrier,1,0,9999.0,70,70,60,0,110,180,500,190
Bulk carrier,2,10000,34999.0,70,70,60,0,110,180,500,190
Bulk carrier,3,35000,59999.0,130,130,120,0,150,250,680,260
Bulk carrier,4,60000,99999.0,260,260,240,0,240,400,1100,410
Bulk carrier,5,100000,199999.0,260,260,240,0,240,400,1100,410
Bulk carrier,6,200000,,260,260,240,0,240,400,1100,410
Chemical tanker,1,0,4999.0,670,160,130,0,110,170,190,200
Chemical tanker,2,5000,9999.0,670,160,130,0,330,490,560,580
Chemical tanker,3,10000,19999.0,1000,240,200,0,330,490,560,580
Chemical tanker,4,20000,39999.0,1350,320,200,0,790,550,900,660
Chemical tanker,5,40000,,1350,320,270,0,790,550,900,660
Container,1,0,999.0,250,250,240,0,370,450,790,410
Container,2,1000,1999.0,340,340,310,0,820,910,1750,900
Container,3,2000,2999.0,460,450,430,0,610,910,1900,920
Container,4,3000,4999.0,480,480,430,0,1100,1350,2500,1400
Container,5,5000,7999.0,590,580,550,0,1100,1400,2800,1450
Container,6,8000,11999.0,620,620,540,0,1150,1600,2900,1800
Container,7,12000,14499.0,630,630,630,0,1300,1800,3250,2050
Container,8,14500,19999.0,630,630,630,0,1400,1950,3600,2300
Container,9,20000,,700,700,700,0,1400,1950,3600,2300
General cargo,1,0,4999.0,0,0,0,0,90,50,180,60
General cargo,2,5000,9999.0,110,110,100,0,240,130,490,180
General cargo,3,10000,19999.0,150,150,130,0,720,370,1450,520
General cargo,4,20000,,150,150,130,0,720,370,1450,520
Liquified gas tanker,1,0,34999.0,1000,200,200,100,240,240,360,240
Liquified gas tanker,2,35000,65999.0,1000,200,200,100,1700,1700,2600,1700
Liquified gas tanker,3,66000,134999.0,1500,300,300,150,2500,2000,2300,2650
Liquified gas tanker,4,135000,,3000,600,600,300,6750,7200,7200,6750
Oil tanker,1,0,4999.0,500,100,100,0,250,250,375,250
Oil tanker,2,5000,9999.0,750,150,150,0,375,375,560,375
Oil tanker,3,10000,19999.0,1250,250,250,0,690,500,580,490
Oil tanker,4,20000,59999.0,2700,270,270,270,720,520,600,510
Oil tanker,5,60000,79999.0,3250,360,360,280,620,490,770,560
Oil tanker,6,80000,119999.0,4000,400,400,280,800,640,910,690
Oil tanker,7,120000,199999.0,6500,500,500,300,2500,770,1300,860
Oil tanker,8,200000,,7000,600,600,300,2500,770,1300,860
Other liquids tankers,1,0,999.0,1000,200,200,100,500,500,750,500
Other liquids tankers,2,1000,,1000,200,200,100,500,500,750,500
Ferry-pax only,1,0,299.0,0,0,0,0,190,190,190,190
Ferry-pax only,2,300,999.0,0,0,0,0,190,190,190,190
Ferry-pax only,3,1000,1999.0,0,0,0,0,190,190,190,190
Ferry-pax only,4,2000,,0,0,0,0,520,520,520,520
Cruise,1,0,1999.0,1100,950,980,0,450,450,580,450
Cruise,2,2000,9999.0,1100,950,980,0,450,450,580,450
Cruise,3,10000,59999.0,1100,950,980,0,3500,3500,5500,3500
Cruise,4,60000,99999.0,1100,950,980,0,11500,11500,14900,11500
Cruise,5,100000,149999.0,1100,950,980,0,11500,11500,14900,11500
Cruise,6,150000,,1100,950,980,0,11500,11500,14900,11500
Ferry-RoPax,1,0,1999.0,260,250,170,0,105,105,105,105
Ferry-RoPax,2,2000,4999.0,260,250,170,0,330,330,330,330
Ferry-RoPax,3,5000,9999.0,260,250,170,0,670,670,670,670
Ferry-RoPax,4,10000,19999.0,390,380,260,0,1100,1100,1100,1100
Ferry-RoPax,5,20000,,390,380,260,0,1950,1950,1950,1950
Refrigerated bulk,1,0,1999.0,270,270,270,0,520,570,560,570
Refrigerated bulk,2,2000,5999.0,270,270,270,0,1100,1200,1150,1200
Refrigerated bulk,3,6000,9999.0,270,270,270,0,1500,1650,1600,1650
Refrigerated bulk,4,10000,,270,270,270,0,2850,3100,3000,3100
Ro-Ro,1,0,4999.0,260,250,170,0,750,430,1300,430
Ro-Ro,2,5000,9999.0,260,250,170,0,1100,680,2100,680
Ro-Ro,3,10000,14999.0,390,380,260,0,1200,950,2700,950
Ro-Ro,4,15000,,390,380,260,0,1200,950,2700,950
Vehicle,1,0,29999.0,310,300,250,0,800,500,1100,500
Vehicle,2,30000,49999.0,310,300,250,0,850,550,1400,510
Vehicle,3,50000,,310,300,250,0,850,550,1400,510
Yacht,1,0,,0,0,0,0,130,130,130,130
Service-tug,1,0,,0,0,0,0,100,80,210,80
Miscellaneous-fishing,1,0,,0,0,0,0,200,200,200,200
Offshore,1,0,,0,0,0,0,320,320,320,320
Service-other,1,0,,0,0,0,0,220,220,220,220
Miscellaneous-other,1,0,,110,110,90,0,150,150,430,410
